Kommentar: 
Zeit: 05.12.2011	12:54
Startenergie: 140
Endenergie: 210
Energieschritt: 1
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
140	4.333333
141	7
142	10.333333
143	13.666667
144	16.666667
145	18.333333
146	21.333333
147	24.333333
148	28
149	32.666667
150	39
151	45.333333
152	50.666667
153	50.666667
154	44.333333
155	33.333333
156	25.333333
157	19
158	16
159	15
160	15.333333
161	16.333333
162	19.666667
163	23
164	27.666667
165	40
166	67.666667
167	107.666667
168	151
169	153.666667
170	108.333333
171	65.333333
172	30
173	22.666667
174	7
175	-17.666667
176	-88.333333
177	-155
178	-163.333333
179	-142.666667
180	-124.666667
181	-111
182	-69.666667
183	201.666667
184	1090
185	1158
186	444
187	-595.333333
188	-1336.333333
189	-1370.333333
190	-1145.666667
191	-922.333333
192	-656.333333
193	-495
194	-372
195	-263.666667
196	-193
197	-126.666667
198	-91.666667
199	-63.666667
200	-41
201	-26.333333
202	-14
203	-9.666667
204	-6.333333
205	-3.333333
206	-1.333333
207	-0.333333
208	0
209	0
210	0.333333
