Kommentar: 
Zeit: 05.12.2011	12:51
Startenergie: 100
Endenergie: 1600
Energieschritt: 3
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
100	11
103	10
106	11
109	11
112	11
115	11
118	11
121	13
124	13
127	15
130	16
133	18
136	21
139	22
142	22
145	21
148	21
151	26
154	35
157	33
160	28
163	26
166	29
169	44
172	60
175	28
178	-20
181	-65
184	56
187	121
190	-37
193	-84
196	-87
199	-65
202	-51
205	-32
208	-19
211	-13
214	-9
217	-6
220	-2
223	-1
226	0
229	0
232	0
235	1
238	1
241	1
244	2
247	1
250	1
253	1
256	2
259	2
262	1
265	1
268	2
271	2
274	2
277	2
280	2
283	2
286	2
289	2
292	2
295	2
298	1
301	1
304	2
307	1
310	2
313	1
316	2
319	2
322	2
325	2
328	2
331	2
334	2
337	2
340	1
343	1
346	1
349	2
352	2
355	2
358	1
361	1
364	2
367	2
370	1
373	2
376	2
379	2
382	1
385	2
388	1
391	2
394	1
397	1
400	1
403	1
406	1
409	2
412	1
415	1
418	1
421	1
424	2
427	2
430	1
433	2
436	2
439	2
442	2
445	2
448	1
451	1
454	2
457	2
460	1
463	2
466	2
469	2
472	2
475	2
478	1
481	2
484	2
487	2
490	1
493	2
496	2
499	2
502	1
505	1
508	1
511	2
514	1
517	2
520	2
523	1
526	2
529	1
532	2
535	2
538	2
541	1
544	2
547	1
550	2
553	2
556	2
559	1
562	1
565	2
568	2
571	2
574	1
577	2
580	2
583	2
586	2
589	2
592	2
595	2
598	2
601	2
604	2
607	2
610	1
613	2
616	2
619	1
622	1
625	2
628	2
631	2
634	2
637	2
640	2
643	2
646	2
649	2
652	2
655	2
658	2
661	1
664	1
667	2
670	1
673	2
676	2
679	2
682	2
685	2
688	2
691	1
694	2
697	2
700	2
703	2
706	1
709	2
712	2
715	2
718	2
721	2
724	2
727	2
730	2
733	2
736	2
739	1
742	2
745	2
748	2
751	2
754	1
757	2
760	2
763	2
766	2
769	2
772	1
775	2
778	1
781	2
784	2
787	1
790	2
793	1
796	1
799	2
802	2
805	2
808	2
811	2
814	1
817	2
820	1
823	1
826	1
829	1
832	2
835	2
838	1
841	2
844	2
847	2
850	1
853	1
856	1
859	2
862	2
865	1
868	2
871	1
874	1
877	1
880	1
883	1
886	1
889	2
892	1
895	1
898	2
901	2
904	2
907	1
910	2
913	2
916	2
919	2
922	1
925	2
928	2
931	1
934	2
937	2
940	2
943	2
946	1
949	1
952	1
955	1
958	1
961	1
964	2
967	1
970	2
973	2
976	2
979	2
982	2
985	1
988	1
991	2
994	1
997	1
1000	1
1003	1
1006	2
1009	2
1012	1
1015	1
1018	1
1021	1
1024	1
1027	1
1030	1
1033	1
1036	2
1039	1
1042	1
1045	1
1048	2
1051	1
1054	1
1057	1
1060	1
1063	1
1066	1
1069	1
1072	1
1075	1
1078	2
1081	1
1084	2
1087	2
1090	1
1093	1
1096	2
1099	2
1102	1
1105	2
1108	2
1111	1
1114	2
1117	1
1120	1
1123	1
1126	1
1129	1
1132	1
1135	1
1138	1
1141	1
1144	2
1147	2
1150	1
1153	1
1156	1
1159	1
1162	2
1165	2
1168	2
1171	2
1174	1
1177	1
1180	2
1183	1
1186	2
1189	1
1192	1
1195	2
1198	1
1201	1
1204	1
1207	1
1210	1
1213	1
1216	1
1219	1
1222	1
1225	1
1228	1
1231	1
1234	1
1237	2
1240	1
1243	1
1246	2
1249	1
1252	1
1255	2
1258	2
1261	1
1264	1
1267	2
1270	2
1273	1
1276	2
1279	1
1282	1
1285	2
1288	1
1291	1
1294	2
1297	1
1300	2
1303	1
1306	1
1309	1
1312	2
1315	2
1318	1
1321	1
1324	1
1327	1
1330	1
1333	1
1336	2
1339	1
1342	2
1345	2
1348	2
1351	2
1354	1
1357	2
1360	1
1363	1
1366	1
1369	2
1372	2
1375	2
1378	1
1381	1
1384	1
1387	1
1390	2
1393	1
1396	1
1399	2
1402	1
1405	2
1408	1
1411	1
1414	1
1417	1
1420	1
1423	2
1426	2
1429	1
1432	1
1435	2
1438	1
1441	1
1444	1
1447	2
1450	1
1453	2
1456	1
1459	1
1462	2
1465	2
1468	1
1471	1
1474	1
1477	1
1480	1
1483	2
1486	1
1489	1
1492	2
1495	1
1498	2
1501	1
1504	1
1507	1
1510	1
1513	1
1516	1
1519	1
1522	1
1525	2
1528	2
1531	1
1534	1
1537	1
1540	1
1543	1
1546	2
1549	1
1552	1
1555	1
1558	1
1561	1
1564	1
1567	1
1570	1
1573	2
1576	2
1579	1
1582	2
1585	1
1588	1
1591	2
1594	1
1597	1
1600	2
