Kommentar: 
Zeit: 05.12.2011	11:43
Startenergie: 100
Endenergie: 600
Energieschritt: 5
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
100	4520
105	4423
110	4278
115	4158
120	3844
125	3418
130	3132
135	2938
140	2805
145	2812
150	2857
155	2658
160	2516
165	2415
170	2286
175	2095
180	1924
185	1845
190	1851
195	1889
200	1888
205	1853
210	1779
215	1756
220	1674
225	1454
230	1338
235	1248
240	1261
245	1293
250	1234
255	1181
260	1039
265	995
270	788
275	698
280	597
285	502
290	628
295	709
300	840
305	925
310	1026
315	1029
320	1023
325	1016
330	1035
335	1069
340	1129
345	1136
350	1062
355	1120
360	1133
365	1112
370	1085
375	992
380	899
385	845
390	904
395	951
400	1057
405	1133
410	1239
415	1225
420	1176
425	1155
430	1119
435	1081
440	1102
445	1071
450	1006
455	979
460	952
465	959
470	966
475	953
480	1001
485	1031
490	1130
495	1163
500	1148
505	1140
510	1209
515	1296
520	1086
525	805
530	714
535	646
540	619
545	642
550	731
555	814
560	906
565	1031
570	1053
575	1081
580	1088
585	1109
590	1139
595	1110
600	1092
