Kommentar: 
Zeit: 05.12.2011	12:05
Startenergie: 50
Endenergie: 1600
Energieschritt: 5
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
50	4397
55	4249
60	6644
65	4560
70	2142
75	-2328
80	-8271
85	-8147
90	-6137
95	-3596
100	-740
105	1032
110	1886
115	2533
120	2806
125	2869
130	2901
135	2831
140	2771
145	2708
150	2665
155	2625
160	2587
165	2546
170	2392
175	2346
180	2186
185	2133
190	2064
195	2004
200	1893
205	1838
210	1765
215	1722
220	1718
225	1707
230	1630
235	1629
240	1577
245	1476
250	1389
255	1333
260	1241
265	1284
270	1296
275	1272
280	1197
285	1124
290	1079
295	1102
300	1090
305	996
310	1010
315	979
320	973
325	937
330	823
335	684
340	663
345	731
350	762
355	802
360	821
365	786
370	796
375	796
380	769
385	808
390	782
395	756
400	835
405	885
410	838
415	806
420	884
425	948
430	980
435	979
440	1007
445	982
450	936
455	928
460	925
465	920
470	855
475	870
480	868
485	957
490	1070
495	1185
500	1229
505	1140
510	1103
515	1055
520	848
525	740
530	694
535	683
540	730
545	803
550	908
555	987
560	1072
565	1049
570	1065
575	1092
580	1064
585	1074
590	1072
595	1076
600	1073
605	1111
610	1173
615	1205
620	1247
625	1218
630	1146
635	1028
640	950
645	931
650	970
655	1037
660	1111
665	1173
670	1133
675	1064
680	1035
685	1052
690	1044
695	970
700	867
705	845
710	802
715	820
720	934
725	1052
730	1047
735	1060
740	1051
745	1069
750	1105
755	1101
760	1049
765	1009
770	968
775	932
780	935
785	935
790	943
795	985
800	1039
805	1118
810	1184
815	1264
820	1329
825	1307
830	1315
835	1349
840	1326
845	1295
850	1226
855	1171
860	1149
865	1112
870	1076
875	1062
880	1077
885	1101
890	1148
895	1176
900	1188
905	1192
910	1167
915	1126
920	1063
925	1010
930	972
935	938
940	935
945	884
950	853
955	846
960	886
965	952
970	974
975	978
980	1003
985	956
990	905
995	840
1000	834
1005	870
1010	889
1015	865
1020	847
1025	866
1030	927
1035	1010
1040	1057
1045	1096
1050	1091
1055	1071
1060	1026
1065	991
1070	965
1075	957
1080	1040
1085	1097
1090	1115
1095	1129
1100	1119
1105	1100
1110	1087
1115	1074
1120	993
1125	1082
1130	1133
1135	1099
1140	1087
1145	1132
1150	1184
1155	1203
1160	1178
1165	1138
1170	1067
1175	1051
1180	1057
1185	1079
1190	1117
1195	1122
1200	1114
1205	1124
1210	1095
1215	1066
1220	1067
1225	1086
1230	1140
1235	1157
1240	1127
1245	1155
1250	1127
1255	1106
1260	1137
1265	1123
1270	1125
1275	1135
1280	1185
1285	1200
1290	1262
1295	1229
1300	1271
1305	1344
1310	1284
1315	1239
1320	1147
1325	1101
1330	1117
1335	1268
1340	1246
1345	1189
1350	1274
1355	1046
1360	833
1365	908
1370	975
1375	965
1380	883
1385	1019
1390	1042
1395	682
1400	591
1405	-57
1410	-924
1415	-1189
1420	-968
1425	-456
1430	76
1435	438
1440	642
1445	792
1450	849
1455	916
1460	892
1465	938
1470	962
1475	942
1480	858
1485	790
1490	776
1495	743
1500	671
1505	637
1510	665
1515	696
1520	699
1525	796
1530	895
1535	940
1540	902
1545	874
1550	859
1555	924
1560	946
1565	899
1570	873
1575	880
1580	933
1585	943
1590	918
1595	882
1600	862
