Kommentar: 
Zeit: 24.10.2011	12:12
Startenergie: 850
Endenergie: 1060
Energieschritt: 0
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
850	17
850.1	17
850.2	13
850.3	14
850.4	24
850.5	23
850.6	4
850.7	9
850.8	9
850.9	17
851	11
851.1	16
851.2	14
851.3	26
851.4	21
851.5	20
851.6	19
851.7	33
851.8	14
851.9	27
852	24
852.1	17
852.2	36
852.3	41
852.4	18
852.5	28
852.6	28
852.7	36
852.8	39
852.9	34
853	36
853.1	41
853.2	21
853.3	20
853.4	5
853.5	6
853.6	9
853.7	10
853.8	31
853.9	26
854	18
854.1	38
854.2	36
854.3	35
854.4	34
854.5	26
854.6	29
854.7	21
854.8	26
854.9	32
855	29
855.1	17
855.2	22
855.3	23
855.4	27
855.5	29
855.6	20
855.7	20
855.8	21
855.9	13
856	23
856.1	24
856.2	19
856.3	32
856.4	40
856.5	40
856.6	48
856.7	13
856.8	12
856.9	30
857	30
857.1	23
857.2	20
857.3	17
857.4	16
857.5	8
857.6	6
857.7	17
857.8	21
857.9	25
858	29
858.1	20
858.2	16
858.3	14
858.4	20
858.5	21
858.6	5
858.7	4
858.8	9
858.9	19
859	1
859.1	6
859.2	23
859.3	30
859.4	30
859.5	14
859.6	22
859.7	35
859.8	24
859.9	17
860	27
860.1	32
860.2	30
860.3	23
860.4	33
860.5	47
860.6	36
860.7	31
860.8	46
860.9	36
861	25
861.1	16
861.2	31
861.3	40
861.4	31
861.5	29
861.6	19
861.7	19
861.8	28
861.9	32
862	30
862.1	25
862.2	9
862.3	1
862.4	12
862.5	24
862.6	25
862.7	42
862.8	43
862.9	45
863	37
863.1	41
863.2	25
863.3	13
863.4	29
863.5	24
863.6	33
863.7	51
863.8	60
863.9	40
864	17
864.1	14
864.2	1
864.3	9
864.4	15
864.5	25
864.6	24
864.7	14
864.8	18
864.9	10
865	9
865.1	18
865.2	42
865.3	41
865.4	31
865.5	31
865.6	20
865.7	6
865.8	10
865.9	9
866	18
866.1	3
866.2	-1
866.3	7
866.4	23
866.5	37
866.6	47
866.7	33
866.8	22
866.9	24
867	35
867.1	31
867.2	12
867.3	22
867.4	18
867.5	28
867.6	30
867.7	22
867.8	15
867.9	14
868	-6
868.1	6
868.2	15
868.3	23
868.4	37
868.5	41
868.6	33
868.7	43
868.8	32
868.9	24
869	16
869.1	2
869.2	-7
869.3	15
869.4	30
869.5	19
869.6	14
869.7	1
869.8	3
869.9	11
870	3
870.1	7
870.2	21
870.3	24
870.4	22
870.5	14
870.6	17
870.7	21
870.8	23
870.9	35
871	21
871.1	15
871.2	33
871.3	32
871.4	39
871.5	8
871.6	0
871.7	16
871.8	5
871.9	28
872	36
872.1	44
872.2	42
872.3	47
872.4	40
872.5	25
872.6	23
872.7	5
872.8	3
872.9	7
873	23
873.1	44
873.2	48
873.3	34
873.4	18
873.5	13
873.6	27
873.7	18
873.8	17
873.9	33
874	18
874.1	2
874.2	34
874.3	12
874.4	19
874.5	43
874.6	40
874.7	48
874.8	32
874.9	45
875	22
875.1	8
875.2	9
875.3	10
875.4	7
875.5	33
875.6	39
875.7	42
875.8	26
875.9	27
876	21
876.1	38
876.2	25
876.3	28
876.4	35
876.5	36
876.6	49
876.7	34
876.8	43
876.9	39
877	25
877.1	29
877.2	33
877.3	56
877.4	35
877.5	42
877.6	27
877.7	43
877.8	42
877.9	39
878	44
878.1	34
878.2	15
878.3	8
878.4	20
878.5	23
878.6	23
878.7	40
878.8	35
878.9	31
879	16
879.1	40
879.2	42
879.3	31
879.4	34
879.5	25
879.6	26
879.7	10
879.8	27
879.9	26
880	21
880.1	9
880.2	20
880.3	29
880.4	30
880.5	25
880.6	27
880.7	21
880.8	19
880.9	34
881	27
881.1	13
881.2	-8
881.3	0
881.4	22
881.5	28
881.6	17
881.7	7
881.8	9
881.9	23
882	28
882.1	29
882.2	38
882.3	22
882.4	47
882.5	26
882.6	11
882.7	15
882.8	3
882.9	3
883	34
883.1	28
883.2	16
883.3	49
883.4	43
883.5	15
883.6	45
883.7	37
883.8	21
883.9	34
884	20
884.1	26
884.2	27
884.3	19
884.4	29
884.5	9
884.6	12
884.7	16
884.8	8
884.9	5
885	14
885.1	18
885.2	25
885.3	16
885.4	15
885.5	4
885.6	11
885.7	16
885.8	15
885.9	24
886	19
886.1	17
886.2	4
886.3	24
886.4	27
886.5	21
886.6	10
886.7	21
886.8	19
886.9	11
887	40
887.1	30
887.2	30
887.3	32
887.4	35
887.5	43
887.6	47
887.7	37
887.8	28
887.9	32
888	31
888.1	43
888.2	29
888.3	50
888.4	28
888.5	24
888.6	16
888.7	29
888.8	40
888.9	16
889	9
889.1	24
889.2	33
889.3	35
889.4	26
889.5	12
889.6	29
889.7	26
889.8	33
889.9	25
890	20
890.1	9
890.2	28
890.3	32
890.4	28
890.5	57
890.6	48
890.7	55
890.8	49
890.9	41
891	39
891.1	46
891.2	28
891.3	51
891.4	42
891.5	47
891.6	72
891.7	56
891.8	45
891.9	33
892	53
892.1	50
892.2	36
892.3	37
892.4	24
892.5	29
892.6	31
892.7	54
892.8	47
892.9	43
893	33
893.1	38
893.2	35
893.3	35
893.4	45
893.5	42
893.6	20
893.7	39
893.8	37
893.9	32
894	28
894.1	47
894.2	47
894.3	43
894.4	34
894.5	28
894.6	5
894.7	6
894.8	24
894.9	20
895	29
895.1	44
895.2	33
895.3	34
895.4	36
895.5	36
895.6	18
895.7	11
895.8	16
895.9	19
896	24
896.1	39
896.2	54
896.3	39
896.4	22
896.5	27
896.6	28
896.7	24
896.8	31
896.9	28
897	45
897.1	29
897.2	17
897.3	9
897.4	27
897.5	28
897.6	30
897.7	18
897.8	7
897.9	35
898	20
898.1	34
898.2	20
898.3	35
898.4	35
898.5	20
898.6	9
898.7	13
898.8	28
898.9	14
899	21
899.1	12
899.2	32
899.3	25
899.4	30
899.5	11
899.6	17
899.7	27
899.8	27
899.9	12
900	21
900.1	14
900.2	6
900.3	11
900.4	27
900.5	10
900.6	9
900.7	7
900.8	1
900.9	17
901	30
901.1	27
901.2	17
901.3	30
901.4	17
901.5	20
901.6	9
901.7	9
901.8	16
901.9	40
902	32
902.1	35
902.2	33
902.3	39
902.4	52
902.5	35
902.6	26
902.7	43
902.8	40
902.9	28
903	35
903.1	55
903.2	51
903.3	43
903.4	33
903.5	47
903.6	24
903.7	36
903.8	16
903.9	28
904	59
904.1	41
904.2	32
904.3	44
904.4	39
904.5	47
904.6	51
904.7	51
904.8	50
904.9	51
905	56
905.1	55
905.2	54
905.3	54
905.4	49
905.5	56
905.6	54
905.7	67
905.8	55
905.9	55
906	58
906.1	70
906.2	37
906.3	26
906.4	54
906.5	65
906.6	59
906.7	45
906.8	58
906.9	50
907	66
907.1	75
907.2	55
907.3	71
907.4	45
907.5	41
907.6	54
907.7	81
907.8	56
907.9	70
908	57
908.1	42
908.2	52
908.3	72
908.4	36
908.5	24
908.6	46
908.7	80
908.8	53
908.9	65
909	42
909.1	61
909.2	69
909.3	43
909.4	38
909.5	41
909.6	44
909.7	43
909.8	50
909.9	23
910	21
910.1	25
910.2	43
910.3	49
910.4	43
910.5	48
910.6	34
910.7	22
910.8	26
910.9	41
911	58
911.1	55
911.2	47
911.3	55
911.4	33
911.5	31
911.6	65
911.7	36
911.8	38
911.9	40
912	32
912.1	28
912.2	42
912.3	33
912.4	34
912.5	13
912.6	33
912.7	9
912.8	4
912.9	24
913	40
913.1	35
913.2	16
913.3	29
913.4	27
913.5	23
913.6	3
913.7	14
913.8	27
913.9	16
914	14
914.1	12
914.2	16
914.3	36
914.4	12
914.5	22
914.6	25
914.7	13
914.8	18
914.9	27
915	9
915.1	11
915.2	8
915.3	14
915.4	25
915.5	45
915.6	30
915.7	15
915.8	36
915.9	21
916	21
916.1	-1
916.2	5
916.3	35
916.4	10
916.5	8
916.6	14
916.7	26
916.8	17
916.9	15
917	19
917.1	45
917.2	27
917.3	10
917.4	26
917.5	23
917.6	8
917.7	2
917.8	13
917.9	41
918	34
918.1	35
