Kommentar: 
Zeit: 24.10.2011	12:41
Startenergie: 50
Endenergie: 190
Energieschritt: 0
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
50	11
50.1	5
50.2	5
50.3	4
50.4	4
50.5	4
50.6	4
50.7	4
50.8	4
50.9	4
51	4
51.1	4
51.2	4
51.3	4
51.4	4
51.5	5
51.6	5
51.7	4
51.8	4
51.9	5
52	4
52.1	4
52.2	4
52.3	5
52.4	3
52.5	4
52.6	4
52.7	4
52.8	4
52.9	4
53	4
53.1	5
53.2	5
53.3	4
53.4	4
53.5	4
53.6	4
53.7	5
53.8	5
53.9	4
54	4
54.1	4
54.2	4
54.3	4
54.4	4
54.5	4
54.6	4
54.7	4
54.8	4
54.9	4
55	4
55.1	4
55.2	4
55.3	4
55.4	4
55.5	5
55.6	4
55.7	4
55.8	4
55.9	4
56	5
56.1	4
56.2	4
56.3	4
56.4	3
56.5	4
56.6	5
56.7	4
56.8	4
56.9	5
57	5
57.1	5
57.2	5
57.3	5
57.4	5
57.5	5
57.6	5
57.7	5
57.8	5
57.9	5
58	4
58.1	4
58.2	5
58.3	4
58.4	4
58.5	4
58.6	4
58.7	4
58.8	4
58.9	4
59	4
59.1	5
59.2	4
59.3	5
59.4	5
59.5	4
59.6	5
59.7	5
59.8	5
59.9	5
60	5
60.1	4
60.2	4
60.3	4
60.4	4
60.5	4
60.6	5
60.7	4
60.8	4
60.9	4
61	4
61.1	5
61.2	5
61.3	5
61.4	4
61.5	4
61.6	4
61.7	4
61.8	4
61.9	4
62	4
62.1	5
62.2	5
62.3	5
62.4	5
62.5	4
62.6	4
62.7	4
62.8	4
62.9	5
63	5
63.1	5
63.2	5
63.3	5
63.4	5
63.5	5
63.6	4
63.7	4
63.8	5
63.9	4
64	4
64.1	4
64.2	4
64.3	5
64.4	5
64.5	5
64.6	5
64.7	5
64.8	5
64.9	5
65	5
65.1	5
65.2	5
65.3	5
65.4	5
65.5	4
65.6	4
65.7	5
65.8	5
65.9	5
66	5
66.1	5
66.2	5
66.3	5
66.4	5
66.5	5
66.6	5
66.7	5
66.8	4
66.9	5
67	4
67.1	4
67.2	4
67.3	4
67.4	5
67.5	5
67.6	5
67.7	4
67.8	5
67.9	5
68	5
68.1	5
68.2	4
68.3	4
68.4	5
68.5	5
68.6	4
68.7	5
68.8	5
68.9	5
69	5
69.1	5
69.2	6
69.3	6
69.4	5
69.5	5
69.6	5
69.7	6
69.8	6
69.9	6
70	6
70.1	5
70.2	5
70.3	5
70.4	5
70.5	5
70.6	5
70.7	5
70.8	6
70.9	5
71	6
71.1	5
71.2	4
71.3	5
71.4	6
71.5	6
71.6	6
71.7	4
71.8	4
71.9	5
72	6
72.1	5
72.2	6
72.3	6
72.4	5
72.5	4
72.6	5
72.7	6
72.8	5
72.9	4
73	6
73.1	5
73.2	6
73.3	6
73.4	6
73.5	6
73.6	5
73.7	6
73.8	6
73.9	6
74	5
74.1	5
74.2	5
74.3	5
74.4	5
74.5	5
74.6	5
74.7	5
74.8	6
74.9	5
75	5
75.1	5
75.2	5
75.3	6
75.4	6
75.5	6
75.6	5
75.7	6
75.8	5
75.9	5
76	6
76.1	5
76.2	5
76.3	5
76.4	6
76.5	7
76.6	7
76.7	6
76.8	4
76.9	5
77	6
77.1	5
77.2	5
77.3	5
77.4	5
77.5	5
77.6	5
77.7	5
77.8	5
77.9	6
78	5
78.1	5
78.2	4
78.3	6
78.4	6
78.5	6
78.6	6
78.7	6
78.8	5
78.9	5
79	6
79.1	5
79.2	6
79.3	6
79.4	7
79.5	6
79.6	6
79.7	6
79.8	7
79.9	7
80	7
80.1	6
80.2	6
80.3	6
80.4	6
80.5	6
80.6	6
80.7	7
80.8	6
80.9	6
81	7
81.1	6
81.2	6
81.3	6
81.4	7
81.5	7
81.6	7
81.7	6
81.8	6
81.9	6
82	6
82.1	7
82.2	7
82.3	6
82.4	6
82.5	6
82.6	6
82.7	6
82.8	7
82.9	7
83	7
83.1	6
83.2	6
83.3	7
83.4	7
83.5	7
83.6	7
83.7	7
83.8	7
83.9	7
84	7
84.1	7
84.2	7
84.3	8
84.4	7
84.5	6
84.6	6
84.7	6
84.8	7
84.9	8
85	7
85.1	7
85.2	7
85.3	8
85.4	7
85.5	7
85.6	8
85.7	7
85.8	7
85.9	8
86	7
86.1	7
86.2	7
86.3	7
86.4	8
86.5	8
86.6	7
86.7	7
86.8	7
86.9	6
87	6
87.1	6
87.2	8
87.3	8
87.4	7
87.5	7
87.6	6
87.7	7
87.8	8
