Kommentar: 
Zeit: 24.10.2011	10:47
Startenergie: 50
Endenergie: 1500
Energieschritt: 5
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
50	-78
55	-118
60	-1653
65	-3582
70	-3976
75	-4056
80	-1546
85	-858
90	-534
95	-196
100	46
105	194
110	360
115	371
120	508
125	449
130	318
135	357
140	420
145	470
150	462
155	223
160	75
165	173
170	241
175	240
180	282
185	276
190	365
195	324
200	441
205	502
210	525
215	478
220	393
225	337
230	395
235	484
240	608
245	622
250	606
255	482
260	488
265	497
270	426
275	196
280	-124
285	-81
290	51
295	237
300	227
305	301
310	401
315	393
320	304
325	214
330	266
335	287
340	293
345	291
350	355
355	357
360	335
365	338
370	347
375	304
380	394
385	511
390	90
395	-74
400	110
405	301
410	330
415	329
420	342
425	444
430	470
435	479
440	468
445	479
450	577
455	560
460	633
465	667
470	865
475	864
480	741
485	1003
490	1432
495	883
500	-154
505	1563
510	1979
515	-2744
520	-4521
525	-3898
530	-1915
535	-659
540	-172
545	112
550	367
555	321
560	306
565	409
570	399
575	296
580	268
585	422
590	392
595	351
600	363
605	305
610	408
615	332
620	389
625	388
630	399
635	343
640	437
645	330
650	225
655	195
660	313
665	410
670	352
675	302
680	353
685	519
690	468
695	396
700	347
705	366
710	307
715	316
720	364
725	341
730	413
735	299
740	270
745	334
750	352
755	356
760	273
765	277
770	280
775	414
780	351
785	398
790	459
795	447
800	405
805	352
810	443
815	301
820	329
825	395
830	463
835	434
840	307
845	386
850	360
855	345
860	359
865	367
870	400
875	377
880	375
885	352
890	466
895	428
900	437
905	472
910	498
915	428
920	458
925	360
930	329
935	271
940	307
945	231
950	299
955	274
960	284
965	315
970	300
975	288
980	340
985	364
990	318
995	352
1000	337
1005	348
1010	340
1015	276
1020	213
1025	313
1030	318
1035	312
1040	314
1045	331
1050	357
1055	408
1060	357
1065	324
1070	475
1075	462
1080	454
1085	380
1090	396
1095	293
1100	287
1105	355
1110	321
1115	308
1120	345
1125	345
1130	347
1135	370
1140	361
1145	378
1150	340
1155	349
1160	435
1165	392
1170	397
1175	390
1180	319
1185	272
1190	393
1195	384
1200	358
1205	328
1210	365
1215	358
1220	427
1225	342
1230	330
1235	292
1240	329
1245	293
1250	373
1255	364
1260	318
1265	322
1270	396
1275	413
1280	468
1285	453
1290	481
1295	397
1300	384
1305	393
1310	364
1315	382
1320	335
1325	349
1330	396
1335	356
1340	314
1345	312
1350	253
1355	134
1360	155
1365	263
1370	313
1375	214
1380	388
1385	501
1390	275
1395	211
1400	27
1405	-398
1410	-548
1415	-270
1420	129
1425	285
1430	254
1435	261
1440	255
1445	330
1450	227
1455	348
1460	299
1465	294
1470	311
1475	253
1480	383
1485	375
1490	384
1495	317
1500	232
