Kommentar: 
Zeit: 24.10.2011	12:54
Startenergie: 300
Endenergie: 600
Energieschritt: 1
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
300	559
301	345
302	323
303	408
304	307
305	390
306	357
307	386
308	434
309	421
310	299
311	340
312	284
313	298
314	187
315	216
316	404
317	464
318	496
319	451
320	442
321	296
322	295
323	381
324	278
325	250
326	209
327	227
328	321
329	379
330	358
331	412
332	380
333	429
334	344
335	192
336	263
337	329
338	308
339	377
340	326
341	274
342	274
343	288
344	428
345	390
346	321
347	259
348	293
349	392
350	388
351	421
352	462
353	455
354	395
355	377
356	343
357	288
358	268
359	303
360	341
361	326
362	361
363	409
364	378
365	267
366	264
367	306
368	266
369	313
370	380
371	328
372	316
373	359
374	483
375	544
376	542
377	546
378	683
379	666
380	532
381	367
382	178
383	-130
384	-275
385	-297
386	-476
387	-321
388	-300
389	-288
390	-338
391	-231
392	-182
393	3
394	122
395	110
396	122
397	160
398	157
399	137
400	171
401	311
402	332
403	431
404	406
405	289
406	285
407	221
408	219
409	259
410	316
411	374
412	333
413	245
414	100
415	214
416	188
417	211
418	270
419	363
420	305
421	339
422	419
423	391
424	346
425	243
426	228
427	209
428	244
429	217
430	275
431	332
432	328
433	295
434	231
435	199
436	266
437	364
438	294
439	283
440	272
441	390
442	377
443	378
444	466
445	448
446	391
447	283
448	328
449	331
450	362
451	384
452	394
453	360
454	325
455	334
456	440
457	315
458	341
459	340
460	397
461	449
462	491
463	520
464	567
465	541
466	570
467	583
468	604
469	512
470	479
471	446
472	561
473	609
474	540
475	499
476	462
477	357
478	275
479	202
480	302
481	421
482	639
483	848
484	957
485	979
486	934
487	915
488	731
489	519
490	130
491	14
492	-98
493	-142
494	-151
495	-42
496	-70
497	-25
498	104
499	359
500	688
501	970
502	1247
503	1655
504	2124
505	2378
506	2324
507	2171
508	1871
509	392
510	-565
511	-1331
512	-2221
513	-2493
514	-2567
515	-2296
516	-2049
517	-1732
518	-1427
519	-1090
520	-813
521	-570
522	-362
523	-218
524	-203
525	-36
526	-21
527	36
528	186
529	185
530	47
531	172
532	231
533	235
534	279
535	105
536	321
537	253
538	262
539	257
540	120
541	177
542	127
543	206
544	278
545	307
546	292
547	337
548	298
549	228
550	357
551	348
552	331
553	433
554	434
555	408
556	397
557	343
558	392
559	230
560	200
561	176
562	349
563	330
564	192
565	368
566	350
567	313
568	128
569	329
570	372
571	308
572	170
573	256
574	231
575	218
576	327
577	282
578	265
579	223
580	366
581	315
582	368
583	315
584	207
585	310
586	195
587	209
588	247
589	294
590	328
591	394
592	495
593	413
594	382
595	360
596	326
597	382
598	331
599	281
600	338
