Kommentar: 
Zeit: 24.10.2011	11:00
Startenergie: 1200
Endenergie: 1450
Energieschritt: 1
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
1200	1088
1201	568
1202	388
1203	314
1204	281
1205	341
1206	376
1207	343
1208	353
1209	324
1210	384
1211	369
1212	418
1213	366
1214	341
1215	392
1216	435
1217	446
1218	459
1219	407
1220	414
1221	365
1222	328
1223	349
1224	338
1225	324
1226	344
1227	339
1228	288
1229	293
1230	295
1231	258
1232	310
1233	331
1234	305
1235	303
1236	265
1237	276
1238	379
1239	454
1240	417
1241	353
1242	291
1243	338
1244	406
1245	396
1246	418
1247	407
1248	398
1249	353
1250	314
1251	390
1252	401
1253	367
1254	349
1255	379
1256	409
1257	363
1258	336
1259	280
1260	346
1261	364
1262	378
1263	371
1264	424
1265	494
1266	432
1267	395
1268	335
1269	365
1270	365
1271	367
1272	332
1273	309
1274	365
1275	434
1276	380
1277	442
1278	439
1279	397
1280	393
1281	391
1282	370
1283	335
1284	336
1285	398
1286	448
1287	389
1288	376
1289	373
1290	328
1291	399
1292	365
1293	321
1294	309
1295	278
1296	287
1297	294
1298	365
1299	371
1300	288
1301	323
1302	340
1303	424
1304	384
1305	403
1306	443
1307	474
1308	414
1309	392
1310	408
1311	388
1312	371
1313	361
1314	354
1315	320
1316	310
1317	315
1318	256
1319	357
1320	450
1321	345
1322	359
1323	362
1324	359
1325	395
1326	412
1327	514
1328	502
1329	458
1330	548
1331	498
1332	424
1333	404
1334	401
1335	321
1336	288
1337	274
1338	252
1339	255
1340	262
1341	340
1342	427
1343	505
1344	540
1345	561
1346	532
1347	545
1348	364
1349	213
1350	137
1351	64
1352	35
1353	-11
1354	-14
1355	28
1356	49
1357	28
1358	156
1359	306
1360	301
1361	352
1362	447
1363	396
1364	423
1365	380
1366	372
1367	380
1368	392
1369	350
1370	198
1371	144
1372	159
1373	197
1374	251
1375	334
1376	370
1377	370
1378	350
1379	450
1380	515
1381	559
1382	567
1383	512
1384	464
1385	320
1386	74
1387	-16
1388	-74
1389	-131
1390	-209
1391	-214
1392	-151
1393	-82
1394	9
1395	140
1396	269
1397	355
1398	350
1399	158
1400	-164
1401	-841
1402	-1260
1403	-1371
1404	-1288
1405	-1224
1406	-1040
1407	-903
1408	-767
1409	-574
1410	-261
1411	-182
1412	-86
1413	-9
1414	51
1415	57
1416	125
1417	148
1418	189
1419	165
1420	251
1421	270
1422	153
1423	255
1424	333
1425	377
1426	327
1427	330
1428	278
1429	332
1430	177
1431	322
1432	322
1433	338
1434	367
1435	363
1436	326
1437	341
1438	264
1439	324
1440	321
1441	303
1442	282
1443	344
1444	300
1445	379
1446	321
1447	274
1448	251
1449	296
1450	257
