Kommentar: 
Zeit: 24.10.2011	12:02
Startenergie: 900
Endenergie: 1100
Energieschritt: 1
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
900	14
901	18
902	14
903	18
904	26
905	45
906	58
907	54
908	49
909	47
910	50
911	49
912	42
913	28
914	24
915	11
916	24
917	17
918	5
919	18
920	22
921	26
922	35
923	57
924	57
925	58
926	80
927	82
928	81
929	71
930	59
931	31
932	27
933	14
934	10
935	28
936	33
937	66
938	100
939	139
940	149
941	148
942	148
943	127
944	94
945	71
946	69
947	52
948	20
949	7
950	11
951	36
952	86
953	107
954	137
955	169
956	207
957	224
958	227
959	209
960	188
961	167
962	113
963	59
964	39
965	45
966	47
967	81
968	117
969	163
970	231
971	300
972	365
973	392
974	377
975	358
976	302
977	241
978	174
979	76
980	29
981	22
982	43
983	104
984	204
985	298
986	400
987	495
988	550
989	601
990	587
991	472
992	358
993	165
994	42
995	-89
996	-189
997	-153
998	-86
999	14
1000	152
1001	331
1002	604
1003	830
1004	970
1005	998
1006	907
1007	760
1008	562
1009	211
1010	-95
1011	-352
1012	-523
1013	-539
1014	-469
1015	-297
1016	112
1017	538
1018	958
1019	1327
1020	1636
1021	1783
1022	1662
1023	1177
1024	711
1025	317
1026	-302
1027	-774
1028	-1261
1029	-1652
1030	-1661
1031	-1548
1032	-1106
1033	-214
1034	1128
1035	2513
1036	3697
1037	4386
1038	4107
1039	2978
1040	1272
1041	-804
1042	-3425
1043	-5939
1044	-7960
1045	-9504
1046	-9885
1047	-8215
1048	-6299
1049	-4254
1050	-2427
1051	-1029
1052	-372
1053	-140
1054	-43
1055	-12
1056	-2
1057	0
1058	0
1059	0
1060	0
1061	0
1062	0
1063	1
1064	1
1065	4
1066	3
1067	2
1068	1
1069	1
1070	0
1071	0
1072	1
1073	0
1074	-1
1075	-1
1076	-1
1077	-2
1078	-2
1079	-1
1080	-1
1081	0
1082	-1
1083	-2
1084	-2
1085	-2
1086	-2
1087	-2
1088	-2
1089	-4
1090	-5
1091	-5
1092	-6
1093	-7
1094	-6
1095	-4
1096	-2
1097	-2
1098	-2
1099	-1
1100	0
