Kommentar: 
Zeit: 24.10.2011	12:31
Startenergie: 200
Endenergie: 290
Energieschritt: 0
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
200	14
200.1	21
200.2	24
200.3	23
200.4	21
200.5	20
200.6	21
200.7	20
200.8	18
200.9	19
201	21
201.1	19
201.2	19
201.3	19
201.4	20
201.5	17
201.6	20
201.7	19
201.8	17
201.9	18
202	18
202.1	20
202.2	21
202.3	22
202.4	22
202.5	19
202.6	20
202.7	21
202.8	21
202.9	21
203	19
203.1	20
203.2	22
203.3	23
203.4	21
203.5	24
203.6	21
203.7	19
203.8	23
203.9	22
204	21
204.1	20
204.2	22
204.3	25
204.4	23
204.5	22
204.6	23
204.7	25
204.8	23
204.9	23
205	23
205.1	22
205.2	24
205.3	24
205.4	25
205.5	25
205.6	26
205.7	26
205.8	27
205.9	27
206	27
206.1	27
206.2	29
206.3	30
206.4	30
206.5	33
206.6	32
206.7	30
206.8	27
206.9	29
207	28
207.1	28
207.2	30
207.3	29
207.4	30
207.5	29
207.6	30
207.7	34
207.8	33
207.9	33
208	32
208.1	31
208.2	32
208.3	33
208.4	36
208.5	35
208.6	35
208.7	35
208.8	35
208.9	37
209	40
209.1	39
209.2	37
209.3	38
209.4	39
209.5	39
209.6	39
209.7	41
209.8	41
209.9	43
210	44
210.1	45
210.2	43
210.3	43
210.4	45
210.5	43
210.6	46
210.7	46
210.8	47
210.9	46
211	44
211.1	44
211.2	45
211.3	45
211.4	46
211.5	47
211.6	47
211.7	48
211.8	51
211.9	51
212	51
212.1	51
212.2	50
212.3	49
212.4	52
212.5	52
212.6	48
212.7	49
212.8	50
212.9	50
213	50
213.1	53
213.2	54
213.3	55
213.4	55
213.5	54
213.6	52
213.7	53
213.8	53
213.9	52
214	50
214.1	47
214.2	48
214.3	48
214.4	50
214.5	51
214.6	53
214.7	47
214.8	46
214.9	45
215	45
215.1	43
215.2	44
215.3	44
215.4	42
215.5	38
215.6	38
215.7	33
215.8	30
215.9	34
216	33
216.1	31
216.2	27
216.3	27
216.4	26
216.5	26
216.6	27
216.7	23
216.8	20
216.9	17
217	19
217.1	18
217.2	17
217.3	15
217.4	14
217.5	14
217.6	12
217.7	8
217.8	10
217.9	13
218	16
218.1	18
218.2	12
218.3	13
218.4	14
218.5	16
218.6	17
218.7	18
218.8	17
218.9	15
219	14
219.1	16
219.2	19
219.3	18
219.4	18
219.5	19
219.6	19
219.7	19
219.8	19
219.9	21
220	20
220.1	21
220.2	21
220.3	19
220.4	17
220.5	18
220.6	20
220.7	18
220.8	19
220.9	20
221	21
221.1	20
221.2	19
221.3	21
221.4	20
221.5	24
221.6	22
221.7	21
221.8	22
221.9	23
222	24
222.1	23
222.2	25
222.3	27
222.4	25
222.5	26
222.6	27
222.7	29
222.8	30
222.9	33
223	35
223.1	34
223.2	34
223.3	35
223.4	37
223.5	41
223.6	42
223.7	38
223.8	42
223.9	43
224	43
224.1	43
224.2	46
224.3	48
224.4	52
224.5	53
224.6	50
224.7	50
224.8	53
224.9	54
225	52
225.1	55
225.2	58
225.3	58
225.4	59
225.5	60
225.6	60
225.7	60
225.8	64
225.9	67
226	67
226.1	70
226.2	71
226.3	73
226.4	72
226.5	76
226.6	76
226.7	80
226.8	80
226.9	81
227	84
