Kommentar: 
Zeit: 24.10.2011	12:26
Startenergie: 140
Endenergie: 290
Energieschritt: 0
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
140	30
140.1	29
140.2	29
140.3	32
140.4	31
140.5	27
140.6	30
140.7	28
140.8	27
140.9	31
141	32
141.1	33
141.2	32
141.3	31
141.4	28
141.5	26
141.6	27
141.7	32
141.8	29
141.9	28
142	31
142.1	29
142.2	30
142.3	28
142.4	30
142.5	27
142.6	29
142.7	31
142.8	31
142.9	29
143	28
143.1	34
143.2	34
143.3	32
143.4	30
143.5	31
143.6	30
143.7	28
143.8	26
143.9	30
144	31
144.1	32
144.2	33
144.3	35
144.4	37
144.5	38
144.6	38
144.7	36
144.8	34
144.9	34
145	32
145.1	33
145.2	35
145.3	39
145.4	41
145.5	34
145.6	32
145.7	31
145.8	35
145.9	36
146	34
146.1	33
146.2	34
146.3	33
146.4	33
146.5	35
146.6	38
146.7	38
146.8	38
146.9	32
147	35
147.1	40
147.2	36
147.3	36
147.4	40
147.5	40
147.6	40
147.7	41
147.8	39
147.9	36
148	39
148.1	38
148.2	35
148.3	38
148.4	34
148.5	36
148.6	33
148.7	34
148.8	29
148.9	28
149	31
149.1	40
149.2	38
149.3	41
149.4	41
149.5	40
149.6	40
149.7	41
149.8	39
149.9	36
150	35
150.1	32
150.2	35
150.3	34
150.4	38
150.5	40
150.6	39
150.7	39
150.8	37
150.9	34
151	37
151.1	37
151.2	41
151.3	39
151.4	34
151.5	37
151.6	36
151.7	38
151.8	39
151.9	39
152	36
152.1	34
152.2	38
152.3	34
152.4	32
152.5	34
152.6	35
152.7	37
152.8	40
152.9	34
153	39
153.1	37
153.2	35
153.3	36
153.4	33
153.5	36
153.6	39
153.7	36
153.8	37
153.9	29
154	28
154.1	29
154.2	32
154.3	34
154.4	34
154.5	37
154.6	39
154.7	41
154.8	35
154.9	36
155	39
155.1	37
155.2	40
155.3	44
155.4	41
155.5	41
155.6	36
155.7	40
155.8	37
155.9	32
156	37
156.1	38
156.2	32
156.3	35
156.4	39
156.5	38
156.6	39
156.7	35
156.8	37
156.9	37
157	36
157.1	32
157.2	32
157.3	39
157.4	42
157.5	40
157.6	41
157.7	40
157.8	42
157.9	42
158	42
158.1	41
158.2	42
158.3	35
158.4	31
158.5	33
158.6	33
158.7	40
158.8	40
158.9	40
159	44
159.1	41
159.2	41
159.3	40
159.4	38
159.5	41
159.6	39
159.7	39
159.8	41
159.9	44
160	47
160.1	41
160.2	37
160.3	40
160.4	33
160.5	40
160.6	45
160.7	42
160.8	41
160.9	40
161	43
161.1	42
161.2	41
161.3	45
161.4	43
161.5	41
161.6	46
161.7	48
161.8	44
161.9	40
162	45
162.1	47
162.2	46
162.3	48
162.4	51
162.5	49
162.6	47
162.7	37
162.8	40
162.9	46
163	45
163.1	43
163.2	44
163.3	45
163.4	47
163.5	47
163.6	44
163.7	47
163.8	44
163.9	42
164	46
164.1	49
164.2	42
164.3	38
164.4	39
164.5	43
164.6	44
164.7	42
164.8	44
164.9	45
165	47
165.1	44
165.2	43
165.3	40
165.4	37
165.5	41
165.6	41
165.7	48
165.8	44
165.9	42
166	41
166.1	42
166.2	41
166.3	45
166.4	45
166.5	38
166.6	37
166.7	42
166.8	40
166.9	40
167	42
167.1	47
167.2	45
167.3	40
167.4	42
167.5	42
167.6	49
167.7	43
167.8	41
167.9	42
168	42
168.1	43
168.2	41
168.3	45
168.4	37
168.5	41
168.6	43
168.7	39
168.8	43
168.9	40
169	40
169.1	44
169.2	45
169.3	47
169.4	42
169.5	34
169.6	32
169.7	34
169.8	41
169.9	46
170	49
170.1	48
170.2	43
170.3	33
170.4	30
170.5	35
170.6	39
170.7	41
170.8	46
170.9	41
171	38
171.1	37
171.2	40
171.3	41
171.4	38
171.5	34
171.6	35
171.7	38
171.8	42
171.9	43
172	42
172.1	46
172.2	38
172.3	38
172.4	42
172.5	41
172.6	45
172.7	48
172.8	43
172.9	41
173	46
173.1	40
173.2	44
173.3	40
173.4	39
173.5	36
173.6	37
173.7	33
173.8	42
173.9	41
174	47
174.1	48
174.2	43
174.3	45
174.4	45
174.5	43
174.6	47
174.7	39
174.8	43
174.9	45
175	48
175.1	58
175.2	51
175.3	40
175.4	44
175.5	43
175.6	41
175.7	45
175.8	47
175.9	47
176	53
176.1	59
176.2	52
176.3	48
176.4	47
176.5	49
176.6	51
176.7	57
176.8	56
176.9	53
177	49
177.1	50
177.2	52
177.3	54
177.4	46
177.5	51
177.6	56
177.7	47
177.8	46
177.9	50
178	52
178.1	53
178.2	54
178.3	53
178.4	53
178.5	53
178.6	56
178.7	53
178.8	54
178.9	55
179	60
179.1	59
179.2	54
179.3	50
179.4	53
179.5	59
179.6	61
179.7	56
179.8	57
179.9	53
180	57
180.1	62
180.2	61
180.3	62
180.4	56
180.5	56
180.6	57
180.7	58
180.8	49
180.9	57
181	54
181.1	56
181.2	57
181.3	59
181.4	57
181.5	55
181.6	58
181.7	61
181.8	67
181.9	58
182	57
182.1	54
182.2	63
182.3	63
182.4	53
182.5	59
182.6	60
182.7	54
182.8	44
182.9	53
183	61
183.1	53
183.2	49
183.3	45
183.4	53
183.5	55
183.6	54
183.7	50
183.8	53
183.9	48
184	48
184.1	44
184.2	48
184.3	45
184.4	42
184.5	44
184.6	47
184.7	47
184.8	45
184.9	43
185	48
185.1	46
185.2	48
185.3	50
185.4	44
185.5	44
185.6	47
185.7	49
185.8	47
185.9	42
186	45
186.1	45
186.2	40
186.3	48
186.4	45
186.5	44
186.6	46
186.7	42
186.8	43
186.9	38
187	44
187.1	44
187.2	44
187.3	43
187.4	41
187.5	44
187.6	49
187.7	49
187.8	46
187.9	49
188	44
188.1	46
188.2	39
188.3	37
188.4	47
188.5	50
188.6	43
188.7	43
188.8	43
188.9	41
189	44
189.1	41
189.2	52
189.3	42
189.4	47
189.5	44
189.6	44
189.7	46
189.8	45
189.9	42
190	38
190.1	48
190.2	48
190.3	42
190.4	43
190.5	44
190.6	51
190.7	53
190.8	51
190.9	51
191	57
191.1	56
191.2	60
191.3	68
191.4	61
191.5	61
191.6	70
191.7	65
191.8	61
191.9	67
192	66
192.1	64
192.2	69
192.3	77
192.4	74
192.5	82
192.6	80
192.7	73
192.8	73
192.9	81
193	77
193.1	85
193.2	82
193.3	72
193.4	79
193.5	81
193.6	82
193.7	82
193.8	83
193.9	82
194	87
194.1	87
194.2	92
194.3	89
194.4	90
194.5	87
194.6	85
194.7	93
194.8	90
194.9	88
195	87
195.1	89
195.2	87
195.3	97
