Kommentar: 
Zeit: 24.10.2011	12:47
Startenergie: 110
Endenergie: 160
Energieschritt: 0
Sensitivity: 300 mV
TC: 100 ms
Phase: Phase: 130
110	10
110.1	12
110.2	14
110.3	12
110.4	13
110.5	12
110.6	12
110.7	13
110.8	12
110.9	14
111	14
111.1	13
111.2	13
111.3	13
111.4	13
111.5	12
111.6	13
111.7	13
111.8	15
111.9	14
112	13
112.1	13
112.2	14
112.3	14
112.4	14
112.5	13
112.6	14
112.7	13
112.8	14
112.9	15
113	15
113.1	15
113.2	14
113.3	13
113.4	14
113.5	15
113.6	15
113.7	15
113.8	15
113.9	15
114	14
114.1	14
114.2	14
114.3	16
114.4	16
114.5	15
114.6	15
114.7	14
114.8	16
114.9	15
115	16
115.1	17
115.2	16
115.3	16
115.4	15
115.5	16
115.6	15
115.7	16
115.8	16
115.9	17
116	17
116.1	16
116.2	17
116.3	17
116.4	17
116.5	16
116.6	16
116.7	16
116.8	16
116.9	15
117	16
117.1	15
117.2	16
117.3	15
117.4	16
117.5	16
117.6	14
117.7	14
117.8	15
117.9	16
118	15
118.1	14
118.2	13
118.3	13
118.4	14
118.5	13
118.6	13
118.7	14
118.8	13
118.9	13
119	14
119.1	13
119.2	12
119.3	13
119.4	13
119.5	12
119.6	12
119.7	12
119.8	12
119.9	11
120	11
120.1	11
120.2	12
120.3	12
120.4	12
120.5	12
120.6	12
120.7	10
120.8	10
120.9	10
121	10
121.1	11
121.2	12
121.3	13
121.4	12
121.5	12
121.6	12
121.7	12
121.8	14
121.9	13
122	12
122.1	11
122.2	11
122.3	13
122.4	13
122.5	13
122.6	13
122.7	13
122.8	14
122.9	15
123	14
123.1	14
123.2	14
123.3	13
123.4	14
123.5	15
123.6	15
123.7	14
123.8	14
123.9	14
124	15
124.1	15
124.2	15
124.3	15
124.4	15
124.5	14
124.6	14
124.7	16
124.8	16
124.9	17
125	16
125.1	15
125.2	16
125.3	17
125.4	17
125.5	17
125.6	17
125.7	17
125.8	16
125.9	17
126	17
126.1	17
126.2	16
126.3	16
126.4	18
126.5	19
126.6	18
126.7	18
126.8	19
126.9	20
127	20
127.1	20
127.2	20
127.3	20
127.4	21
127.5	20
127.6	20
127.7	21
127.8	20
127.9	21
128	21
128.1	22
128.2	22
128.3	21
128.4	21
128.5	22
128.6	22
128.7	22
128.8	23
128.9	22
129	25
129.1	25
129.2	25
129.3	25
129.4	27
129.5	27
129.6	26
129.7	25
129.8	25
129.9	26
130	27
130.1	28
130.2	27
130.3	26
130.4	28
130.5	29
130.6	29
130.7	28
130.8	28
130.9	28
131	29
131.1	30
131.2	29
131.3	30
131.4	29
131.5	29
131.6	30
131.7	31
131.8	30
131.9	32
132	33
132.1	32
132.2	32
132.3	33
132.4	31
132.5	31
132.6	30
132.7	31
132.8	32
132.9	31
133	31
133.1	31
133.2	30
133.3	30
133.4	30
133.5	27
133.6	28
133.7	27
133.8	25
133.9	24
134	23
134.1	22
134.2	23
134.3	22
134.4	17
134.5	18
134.6	17
134.7	14
134.8	12
134.9	12
135	9
135.1	9
135.2	9
135.3	7
135.4	5
135.5	5
135.6	6
135.7	4
135.8	6
135.9	5
136	4
136.1	4
136.2	4
136.3	4
136.4	4
136.5	4
136.6	3
136.7	5
136.8	6
136.9	6
137	8
137.1	7
137.2	8
137.3	9
137.4	10
137.5	10
137.6	12
137.7	13
137.8	14
137.9	15
138	14
138.1	16
138.2	16
138.3	15
138.4	18
138.5	17
138.6	19
138.7	20
138.8	19
138.9	21
139	21
139.1	19
139.2	19
139.3	20
139.4	21
139.5	22
139.6	21
139.7	21
139.8	21
139.9	20
140	22
140.1	23
140.2	22
140.3	20
140.4	23
140.5	23
140.6	22
140.7	21
140.8	24
140.9	22
141	21
141.1	22
141.2	22
141.3	23
141.4	22
141.5	22
141.6	22
141.7	22
141.8	24
141.9	23
142	22
142.1	25
142.2	24
142.3	27
142.4	27
142.5	26
142.6	25
142.7	25
142.8	28
142.9	26
143	26
143.1	27
143.2	29
143.3	29
143.4	31
143.5	30
143.6	31
143.7	32
143.8	34
143.9	35
144	34
144.1	36
144.2	36
144.3	36
144.4	39
144.5	41
144.6	39
144.7	40
144.8	39
144.9	40
145	41
145.1	42
145.2	41
145.3	42
145.4	43
145.5	44
145.6	45
145.7	46
145.8	46
145.9	46
146	48
146.1	48
146.2	49
146.3	51
146.4	52
146.5	53
146.6	57
146.7	57
146.8	57
146.9	58
147	60
147.1	61
147.2	61
147.3	69
147.4	70
147.5	73
147.6	77
147.7	76
147.8	80
147.9	83
148	86
148.1	88
148.2	90
148.3	95
148.4	95
148.5	95
148.6	99
148.7	101
148.8	101
148.9	101
149	101
149.1	101
149.2	96
149.3	94
149.4	94
149.5	92
149.6	82
149.7	78
149.8	70
149.9	54
150	50
150.1	50
150.2	31
150.3	24
150.4	18
150.5	0
150.6	-5
150.7	-10
150.8	-26
150.9	-32
151	-31
151.1	-33
151.2	-45
151.3	-51
151.4	-51
151.5	-57
151.6	-63
151.7	-62
151.8	-62
151.9	-62
152	-62
152.1	-59
152.2	-54
152.3	-54
152.4	-53
152.5	-43
152.6	-38
152.7	-33
152.8	-27
152.9	-24
153	-22
153.1	-11
153.2	-8
153.3	-6
153.4	1
153.5	3
153.6	4
153.7	7
153.8	11
153.9	11
154	13
154.1	13
154.2	13
154.3	9
154.4	7
154.5	6
154.6	4
154.7	-4
154.8	-5
154.9	-10
155	-23
155.1	-24
155.2	-25
155.3	-27
155.4	-39
155.5	-44
155.6	-51
155.7	-65
155.8	-67
155.9	-70
156	-83
156.1	-88
156.2	-91
156.3	-105
156.4	-106
156.5	-107
156.6	-109
156.7	-115
156.8	-118
156.9	-118
157	-122
157.1	-125
157.2	-128
157.3	-132
157.4	-132
157.5	-132
157.6	-134
157.7	-134
157.8	-136
157.9	-135
158	-133
158.1	-134
158.2	-132
158.3	-126
158.4	-125
158.5	-119
158.6	-106
158.7	-102
158.8	-99
158.9	-76
159	-68
159.1	-56
159.2	-36
159.3	-30
159.4	-29
159.5	-21
159.6	-2
159.7	5
159.8	9
159.9	21
160	24
