Kommentar: 
Zeit: 24.10.2011	10:37
Startenergie: 50
Endenergie: 1500
Energieschritt: 5
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
50	1044
55	1059
60	1057
65	-793
70	-3611
75	-3288
80	-1729
85	-871
90	-435
95	-35
100	143
105	256
110	361
115	546
120	569
125	354
130	360
135	414
140	476
145	411
150	556
155	134
160	169
165	192
170	270
175	278
180	333
185	445
190	486
195	393
200	347
205	390
210	370
215	357
220	395
225	507
230	392
235	476
240	513
245	518
250	574
255	519
260	453
265	451
270	443
275	-139
280	-183
285	-108
290	202
295	253
300	332
305	363
310	260
315	208
320	168
325	431
330	478
335	370
340	425
345	396
350	460
355	421
360	398
365	454
370	430
375	348
380	588
385	516
390	144
395	-21
400	109
405	327
410	296
415	243
420	298
425	321
430	500
435	535
440	483
445	581
450	655
455	649
460	636
465	741
470	880
475	1059
480	813
485	1154
490	1570
495	601
500	-95
505	1077
510	3491
515	-291
520	-3512
525	-3859
530	-1955
535	-539
540	11
545	254
550	355
555	524
560	455
565	332
570	321
575	363
580	310
585	335
590	212
595	256
600	331
605	448
610	522
615	404
620	445
625	467
630	331
635	325
640	453
645	393
650	280
655	278
660	299
665	293
670	549
675	440
680	465
685	404
690	393
695	427
700	386
705	361
710	394
715	351
720	358
725	302
730	261
735	363
740	338
745	443
750	482
755	469
760	384
765	346
770	227
775	316
780	498
785	488
790	490
795	508
800	405
805	363
810	408
815	461
820	318
825	354
830	424
835	452
840	425
845	405
850	408
855	353
860	393
865	472
870	400
875	314
880	389
885	449
890	513
895	570
900	506
905	384
910	303
915	348
920	325
925	354
930	274
935	246
940	285
945	278
950	284
955	319
960	380
965	385
970	384
975	454
980	369
985	280
990	246
995	278
1000	297
1005	407
1010	399
1015	408
1020	377
1025	395
1030	395
1035	399
1040	385
1045	394
1050	397
1055	374
1060	408
1065	458
1070	420
1075	393
1080	365
1085	339
1090	437
1095	415
1100	422
1105	383
1110	384
1115	361
1120	278
1125	456
1130	537
1135	445
1140	448
1145	401
1150	329
1155	306
1160	341
1165	458
1170	385
1175	333
1180	336
1185	336
1190	311
1195	329
1200	239
1205	375
1210	440
1215	426
1220	423
1225	370
1230	376
1235	283
1240	305
1245	312
1250	287
1255	359
1260	389
1265	434
1270	541
1275	373
1280	378
1285	450
1290	523
1295	539
1300	526
1305	510
1310	397
1315	282
1320	350
1325	409
1330	498
1335	543
1340	371
1345	355
1350	343
1355	109
1360	94
1365	224
1370	309
1375	297
1380	298
1385	387
1390	205
1395	116
1400	-135
1405	-415
1410	-546
1415	-207
1420	33
1425	246
1430	334
1435	362
1440	273
1445	273
1450	302
1455	300
1460	237
1465	308
1470	365
1475	402
1480	303
1485	358
1490	233
1495	220
1500	229
