Kommentar: 
Zeit: 24.10.2011	10:52
Startenergie: 50
Endenergie: 1500
Energieschritt: 5
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
50	954
55	3841
60	4584
65	-2292
70	-4944
75	-8294
80	-4104
85	-1069
90	500
95	1046
100	1163
105	1189
110	1271
115	1272
120	1159
125	1010
130	993
135	815
140	807
145	831
150	892
155	814
160	718
165	621
170	562
175	514
180	629
185	598
190	509
195	634
200	479
205	510
210	591
215	519
220	411
225	385
230	396
235	388
240	347
245	291
250	349
255	370
260	368
265	333
270	333
275	230
280	143
285	74
290	288
295	432
300	421
305	468
310	427
315	355
320	268
325	309
330	342
335	380
340	481
345	595
350	400
355	233
360	249
365	202
370	255
375	328
380	220
385	276
390	203
395	122
400	255
405	293
410	329
415	397
420	354
425	367
430	279
435	261
440	276
445	260
450	269
455	305
460	392
465	311
470	337
475	304
480	266
485	308
490	252
495	233
500	185
505	425
510	413
515	165
520	-53
525	-96
530	18
535	176
540	212
545	143
550	295
555	356
560	344
565	295
570	244
575	305
580	284
585	284
590	269
595	210
600	246
605	368
610	395
615	386
620	328
625	292
630	311
635	277
640	357
645	408
650	329
655	290
660	284
665	223
670	201
675	196
680	194
685	226
690	282
695	318
700	389
705	408
710	266
715	261
720	339
725	240
730	275
735	388
740	405
745	412
750	352
755	327
760	369
765	365
770	348
775	343
780	250
785	301
790	327
795	380
800	392
805	370
810	407
815	463
820	393
825	291
830	275
835	278
840	335
845	367
850	332
855	286
860	296
865	274
870	397
875	364
880	404
885	418
890	460
895	391
900	378
905	339
910	298
915	378
920	403
925	456
930	407
935	394
940	376
945	361
950	282
955	335
960	321
965	335
970	351
975	408
980	337
985	376
990	369
995	380
1000	367
1005	303
1010	219
1015	220
1020	238
1025	346
1030	428
1035	487
1040	393
1045	313
1050	321
1055	356
1060	325
1065	388
1070	341
1075	376
1080	394
1085	360
1090	324
1095	310
1100	217
1105	156
1110	307
1115	349
1120	312
1125	333
1130	315
1135	304
1140	359
1145	371
1150	352
1155	394
1160	364
1165	297
1170	274
1175	298
1180	278
1185	342
1190	358
1195	376
1200	382
1205	369
1210	339
1215	411
1220	395
1225	366
1230	271
1235	321
1240	375
1245	304
1250	337
1255	337
1260	256
1265	257
1270	319
1275	400
1280	392
1285	423
1290	410
1295	420
1300	360
1305	400
1310	441
1315	380
1320	261
1325	386
1330	447
1335	428
1340	332
1345	264
1350	289
1355	48
1360	135
1365	330
1370	346
1375	291
1380	376
1385	453
1390	147
1395	27
1400	218
1405	-255
1410	-670
1415	-394
1420	-60
1425	161
1430	276
1435	258
1440	191
1445	278
1450	230
1455	277
1460	305
1465	294
1470	298
1475	293
1480	306
1485	274
1490	281
1495	278
1500	204
