Kommentar: Auger
Zeit: 09.01.2012	11:14
Startenergie: 1280
Endenergie: 1480
Energieschritt: 1
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
1280	417
1281	423.6
1282	425.8
1283	430.2
1284	433.2
1285	429
1286	424.6
1287	424.4
1288	426
1289	423
1290	421.6
1291	422.8
1292	418
1293	410.8
1294	411.8
1295	428.8
1296	427.6
1297	431.6
1298	436
1299	426.8
1300	423.6
1301	420.4
1302	422.2
1303	426
1304	424.2
1305	422.2
1306	415.2
1307	406.8
1308	398.6
1309	388.6
1310	375.4
1311	367.4
1312	362
1313	361.6
1314	360
1315	359.6
1316	365.6
1317	362.8
1318	359.6
1319	360.2
1320	362.6
1321	370.4
1322	383.2
1323	399.8
1324	417.4
1325	441.8
1326	464.8
1327	483
1328	501.4
1329	509.6
1330	517
1331	514.8
1332	501.4
1333	475.8
1334	443.6
1335	414.2
1336	396.4
1337	376.4
1338	362.8
1339	358.8
1340	360
1341	373.6
1342	397.2
1343	426.4
1344	455.2
1345	471.4
1346	465.2
1347	435
1348	379.6
1349	311.2
1350	230.8
1351	165.4
1352	93.6
1353	69
1354	58.4
1355	66.2
1356	97.4
1357	131.2
1358	179
1359	231.8
1360	281.4
1361	328.6
1362	359.4
1363	378.8
1364	392.2
1365	395.6
1366	382
1367	355
1368	329.2
1369	297.4
1370	265.4
1371	232.2
1372	223.8
1373	225.6
1374	236
1375	252.6
1376	285.4
1377	339.4
1378	391
1379	446.8
1380	497.4
1381	522.6
1382	515.4
1383	468.8
1384	388.6
1385	284.2
1386	191.8
1387	93.2
1388	37.8
1389	0.4
1390	-15.6
1391	-20
1392	-3.2
1393	25.6
1394	67.6
1395	126.2
1396	179.2
1397	194.8
1398	158.2
1399	27.8
1400	-193.8
1401	-555.4
1402	-856.6
1403	-982.4
1404	-1026
1405	-1007.6
1406	-950.8
1407	-870.4
1408	-758
1409	-635
1410	-484
1411	-346.2
1412	-218.6
1413	-104.6
1414	-13.2
1415	57.4
1416	114.8
1417	164.8
1418	198.8
1419	231.8
1420	260.2
1421	282.4
1422	296.4
1423	309.6
1424	317.2
1425	329
1426	337.6
1427	344.6
1428	344
1429	341.2
1430	342.6
1431	335.2
1432	330.2
1433	325.6
1434	324.8
1435	322.2
1436	326.2
1437	331
1438	339
1439	342
1440	334.6
1441	327.4
1442	320.6
1443	319.2
1444	311
1445	309
1446	307.6
1447	310.6
1448	313.8
1449	311.6
1450	300.6
1451	295.2
1452	298.2
1453	302
1454	299.6
1455	297
1456	300.4
1457	302
1458	312.4
1459	320.4
1460	318.4
1461	318.6
1462	314
1463	321.8
1464	328.8
1465	335.2
1466	339.6
1467	342
1468	344.6
1469	351.6
1470	356.4
1471	362.8
1472	365
1473	364.2
1474	357.8
1475	352
1476	343.6
1477	334.6
1478	328.6
1479	324.8
1480	319.8
