Kommentar: bulk avg5
Zeit: 09.01.2012	11:23
Startenergie: 900
Endenergie: 1100
Energieschritt: 1
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
900	-19.4
901	-2.8
902	34.6
903	68
904	96.2
905	115
906	129.4
907	138.4
908	139.4
909	136.6
910	131.2
911	125.4
912	119
913	111.2
914	105.6
915	101.8
916	102
917	107.6
918	118
919	132.2
920	148.8
921	171.6
922	193.6
923	204
924	211.8
925	211.2
926	205.8
927	198.2
928	187
929	175.8
930	166.4
931	162.6
932	165
933	175
934	191.4
935	214
936	239.8
937	280.8
938	311.2
939	321.6
940	325
941	318
942	305.6
943	285.6
944	262.4
945	239.4
946	217.4
947	203
948	201.8
949	213.6
950	240
951	276.2
952	319.4
953	363.8
954	420.6
955	450.2
956	468.2
957	467.6
958	450.4
959	419.4
960	376
961	334.8
962	297.2
963	276.4
964	276.2
965	300.6
966	350.2
967	417.2
968	499
969	579
970	667.4
971	723.8
972	756.2
973	738.4
974	695.2
975	631.8
976	549
977	467.8
978	392.2
979	345.2
980	338
981	375.8
982	471.4
983	586.6
984	709
985	841
986	963.8
987	1061
988	1055.2
989	1001.4
990	891.2
991	734.2
992	539.2
993	355.6
994	200.8
995	112.4
996	112.6
997	192
998	347
999	584.6
1000	847.8
1001	1114.6
1002	1394.2
1003	1517.4
1004	1505.4
1005	1372.8
1006	1124.4
1007	814.6
1008	438.8
1009	74.2
1010	-226.4
1011	-361.6
1012	-259.2
1013	9.6
1014	358
1015	823.4
1016	1333.4
1017	1838.6
1018	2245.6
1019	2477.6
1020	2499.4
1021	2233.4
1022	1698.2
1023	997.8
1024	224.2
1025	-505.8
1026	-1186.8
1027	-1645
1028	-1545.8
1029	-1184
1030	-462.2
1031	653
1032	2284.4
1033	4241.2
1034	6185.2
1035	7509.6
1036	7943.4
1037	7127.8
1038	5114.4
1039	1937.8
1040	-2311.6
1041	-6826.4
1042	-11467.2
1043	-14043.4
1044	-14836
1045	-15000
1046	-15000
1047	-14365.4
1048	-12673
1049	-10592
1050	-8548
1051	-6712.4
1052	-5159.8
1053	-3916.4
1054	-2967.6
1055	-2241.4
1056	-1721.8
1057	-1344.6
1058	-1065.8
1059	-858.8
1060	-707.4
1061	-599.6
1062	-512.8
1063	-449
1064	-397.2
1065	-354
1066	-321
1067	-292.4
1068	-271.6
1069	-251.4
1070	-232.4
1071	-216.4
1072	-201.4
1073	-188.4
1074	-177
1075	-165.2
1076	-154.6
1077	-144.8
1078	-135.6
1079	-127.4
1080	-120.4
1081	-113.8
1082	-108
1083	-103
1084	-98.8
1085	-95.4
1086	-91.8
1087	-89
1088	-86
1089	-82.8
1090	-79.8
1091	-75.8
1092	-71.8
1093	-67.2
1094	-62.6
1095	-57.6
1096	-53
1097	-49
1098	-45
1099	-41.4
1100	-39
