Kommentar: nach nachfeilen
Zeit: 09.01.2012	11:08
Startenergie: 50
Endenergie: 1500
Energieschritt: 5
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
50	870
55	978
60	1195
65	747
70	-1561
75	-5222
80	-5538
85	-3595
90	-2305
95	-1265
100	-706
105	-323
110	151
115	424
120	640
125	726
130	757
135	745
140	761
145	755
150	777
155	698
160	622
165	577
170	565
175	555
180	568
185	559
190	515
195	489
200	495
205	501
210	487
215	501
220	509
225	519
230	577
235	572
240	571
245	561
250	555
255	556
260	557
265	553
270	519
275	436
280	352
285	298
290	286
295	286
300	317
305	363
310	361
315	377
320	387
325	425
330	445
335	457
340	465
345	454
350	436
355	433
360	411
365	393
370	434
375	441
380	438
385	444
390	373
395	309
400	267
405	268
410	272
415	284
420	312
425	335
430	344
435	366
440	357
445	366
450	351
455	344
460	377
465	415
470	480
475	583
480	623
485	662
490	764
495	683
500	596
505	693
510	978
515	1108
520	724
525	267
530	46
535	-34
540	23
545	103
550	141
555	170
560	206
565	256
570	285
575	303
580	309
585	330
590	368
595	373
600	358
605	339
610	347
615	338
620	341
625	358
630	386
635	388
640	412
645	428
650	416
655	413
660	389
665	375
670	367
675	350
680	329
685	319
690	320
695	312
700	322
705	336
710	360
715	394
720	421
725	444
730	420
735	393
740	362
745	344
750	336
755	357
760	359
765	367
770	396
775	427
780	438
785	424
790	402
795	396
800	390
805	356
810	337
815	314
820	295
825	307
830	344
835	376
840	393
845	372
850	356
855	351
860	351
865	352
870	367
875	370
880	369
885	360
890	360
895	349
900	340
905	339
910	350
915	371
920	401
925	420
930	396
935	386
940	387
945	358
950	364
955	381
960	401
965	417
970	424
975	430
980	428
985	431
990	439
995	441
1000	434
1005	419
1010	404
1015	414
1020	426
1025	414
1030	404
1035	411
1040	420
1045	421
1050	428
1055	418
1060	405
1065	401
1070	397
1075	407
1080	391
1085	376
1090	353
1095	336
1100	348
1105	363
1110	385
1115	417
1120	415
1125	390
1130	357
1135	332
1140	326
1145	334
1150	339
1155	332
1160	328
1165	334
1170	343
1175	361
1180	376
1185	388
1190	383
1195	363
1200	362
1205	358
1210	369
1215	370
1220	374
1225	385
1230	374
1235	355
1240	361
1245	385
1250	408
1255	432
1260	439
1265	430
1270	421
1275	407
1280	390
1285	379
1290	362
1295	364
1300	382
1305	402
1310	406
1315	378
1320	357
1325	360
1330	376
1335	378
1340	328
1345	335
1350	378
1355	305
1360	282
1365	295
1370	293
1375	277
1380	317
1385	361
1390	288
1395	234
1400	163
1405	-62
1410	-299
1415	-360
1420	-218
1425	-52
1430	86
1435	133
1440	224
1445	265
1450	290
1455	294
1460	299
1465	316
1470	325
1475	344
1480	359
1485	373
1490	356
1495	329
1500	325
