Kommentar: surface avg5
Zeit: 09.01.2012	11:29
Startenergie: 130
Endenergie: 250
Energieschritt: 0
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
130	3.4
130.5	5.6
131	8.8
131.5	12.6
132	15
132.5	17
133	17.8
133.5	18.4
134	19.2
134.5	18.8
135	18.6
135.5	18.4
136	18.8
136.5	19
137	19.4
137.5	19.4
138	19.4
138.5	19.6
139	20.2
139.5	20.8
140	20.8
140.5	21.6
141	21
141.5	21.8
142	22.2
142.5	23.2
143	23.6
143.5	24.6
144	25.4
144.5	26.4
145	27.2
145.5	28.2
146	29.4
146.5	30
147	30.6
147.5	31.4
148	31.8
148.5	32
149	31.6
149.5	30.4
150	29.6
150.5	27.8
151	25.8
151.5	24.8
152	23.6
152.5	23
153	22.8
153.5	22.8
154	23
154.5	23
155	23
155.5	23.2
156	24.2
156.5	24.8
157	25.8
157.5	26.6
158	28.2
158.5	29.4
159	32.4
159.5	35.2
160	38
160.5	41.4
161	47
161.5	50.8
162	54.4
162.5	58.8
163	63.8
163.5	66.8
164	68.2
164.5	66.6
165	62.6
165.5	56.4
166	47.4
166.5	38.8
167	27.6
167.5	19.8
168	14.2
168.5	12.6
169	14
169.5	17
170	20.8
170.5	23.6
171	26.2
171.5	28.8
172	32.8
172.5	36.4
173	42.2
173.5	48.4
174	54
174.5	58.2
175	62.6
175.5	65.6
176	66.6
176.5	67.2
177	67.8
177.5	71.8
178	76.4
178.5	89.4
179	114.8
179.5	144.4
180	165.6
180.5	174
181	157.2
181.5	126.6
182	95.8
182.5	59
183	15.6
183.5	-17.2
184	-32.2
184.5	-25.2
185	-11
185.5	-0.8
186	-2.4
186.5	-27.4
187	-66.2
187.5	-127.2
188	-208.2
188.5	-256.4
189	-275.2
189.5	-256.4
190	-212.2
190.5	-155.2
191	-101.4
191.5	-84.8
192	-84.2
192.5	-92
193	-91
193.5	-11.2
194	182.4
194.5	574
195	1014.2
195.5	2054
196	3648.6
196.5	4606.4
197	4952.2
197.5	3709.8
198	1990
198.5	19.6
199	-2199.8
199.5	-3719
200	-3776.4
200.5	-3435.2
201	-2795.8
201.5	-2144.2
202	-1652.4
202.5	-1267.4
203	-915.4
203.5	-646.4
204	-453.6
204.5	-331.2
205	-238.4
205.5	-170.4
206	-106.2
206.5	-74.6
207	-48.4
207.5	-33.2
208	-23.8
208.5	-16
209	-10.8
209.5	-7.4
210	-4.8
210.5	-3.2
211	-1.2
211.5	-0.6
212	-0.2
212.5	-0.2
213	0
213.5	0.4
214	0.6
214.5	0.6
215	0.8
215.5	1.2
216	1.6
216.5	1.4
217	1.8
217.5	1.8
218	1.6
218.5	1.6
219	1.6
219.5	1.4
220	1.8
220.5	1.8
221	1.8
221.5	1.4
222	1.6
222.5	1.6
223	1.8
223.5	2
224	2
224.5	1.6
225	1.8
225.5	1.2
226	1.8
226.5	1.6
227	1.8
227.5	1.8
228	1.8
228.5	1.4
229	1.8
229.5	1.6
230	1.8
230.5	1.8
231	1.8
231.5	1.6
232	2
232.5	1.8
233	1.6
233.5	1.8
234	1.6
234.5	1.8
235	1.8
235.5	1.4
236	1.6
236.5	1.6
237	2
237.5	1.8
238	2
238.5	1.8
239	1.6
239.5	1.6
240	2
240.5	1.8
241	1.8
241.5	2
242	1.6
242.5	1.8
243	1.8
243.5	1.8
244	1.8
244.5	2
245	2
245.5	2
246	2
246.5	2
247	2
247.5	1.8
248	2
248.5	1.6
249	1.6
249.5	1.8
250	1.8
