Kommentar: 
Zeit: 09.01.2012	11:01
Startenergie: 50
Endenergie: 1500
Energieschritt: 5
Sensitivity: 1 mV
TC: 1 ms
Phase: Phase: 50
50	1035
55	1049
60	1068
65	327
70	-1921
75	-3225
80	-2831
85	-2138
90	-1484
95	-805
100	-502
105	-91
110	220
115	351
120	447
125	529
130	588
135	617
140	604
145	575
150	563
155	521
160	508
165	542
170	574
175	584
180	571
185	561
190	540
195	504
200	474
205	476
210	485
215	500
220	470
225	452
230	467
235	477
240	486
245	481
250	493
255	500
260	515
265	526
270	524
275	454
280	357
285	294
290	260
295	242
300	223
305	232
310	253
315	269
320	311
325	334
330	356
335	371
340	392
345	401
350	424
355	444
360	450
365	442
370	465
375	467
380	472
385	458
390	343
395	221
400	203
405	235
410	274
415	299
420	309
425	345
430	375
435	388
440	387
445	409
450	429
455	465
460	475
465	516
470	594
475	679
480	691
485	751
490	840
495	854
500	799
505	964
510	1439
515	1518
520	815
525	110
530	-213
535	-311
540	-283
545	-188
550	-100
555	24
560	141
565	249
570	304
575	341
580	339
585	304
590	284
595	287
600	320
605	353
610	366
615	381
620	381
625	382
630	389
635	395
640	385
645	377
650	372
655	390
660	386
665	397
670	421
675	420
680	424
685	432
690	421
695	400
700	397
705	411
710	399
715	397
720	404
725	396
730	398
735	396
740	408
745	415
750	426
755	414
760	376
765	376
770	396
775	404
780	392
785	389
790	374
795	384
800	406
805	421
810	427
815	421
820	405
825	413
830	431
835	437
840	434
845	418
850	406
855	378
860	357
865	348
870	339
875	336
880	324
885	323
890	332
895	355
900	371
905	385
910	382
915	370
920	384
925	364
930	326
935	320
940	319
945	327
950	353
955	366
960	368
965	379
970	364
975	348
980	318
985	307
990	323
995	330
1000	334
1005	348
1010	369
1015	379
1020	404
1025	412
1030	423
1035	430
1040	444
1045	432
1050	428
1055	425
1060	423
1065	411
1070	420
1075	440
1080	430
1085	420
1090	417
1095	440
1100	452
1105	471
1110	489
1115	493
1120	488
1125	473
1130	445
1135	430
1140	423
1145	415
1150	409
1155	407
1160	410
1165	412
1170	399
1175	375
1180	355
1185	358
1190	365
1195	360
1200	342
1205	345
1210	375
1215	386
1220	378
1225	374
1230	379
1235	371
1240	369
1245	366
1250	377
1255	365
1260	337
1265	352
1270	393
1275	409
1280	408
1285	400
1290	411
1295	394
1300	398
1305	399
1310	382
1315	375
1320	390
1325	392
1330	409
1335	426
1340	422
1345	441
1350	419
1355	345
1360	313
1365	315
1370	309
1375	273
1380	301
1385	338
1390	269
1395	225
1400	114
1405	-278
1410	-384
1415	-282
1420	-122
1425	24
1430	98
1435	194
1440	233
1445	255
1450	274
1455	303
1460	305
1465	311
1470	325
1475	304
1480	286
1485	285
1490	248
1495	214
1500	222
