Zeit Kanal A Kanal B
(ms) (mV) (V)

-50.01217000 2.46742200 -1.59025800
-49.99169000 2.91604400 -1.60795900
-49.97121000 2.01879900 -1.62559900
-49.95073000 2.91604400 -1.59025800
-49.93025000 2.46742200 -1.57261900
-49.90977000 2.46742200 -1.59025800
-49.88929000 3.36466600 -1.57261900
-49.86881000 2.91604400 -1.59025800
-49.84833000 3.36466600 -1.59025800
-49.82785000 2.91604400 -1.59025800
-49.80737000 2.46742200 -1.60795900
-49.78689000 1.57017700 -1.60795900
-49.76641000 2.91604400 -1.59025800
-49.74593000 3.36466600 -1.55497900
-49.72545000 2.46742200 -1.59025800
-49.70497000 3.36466600 -1.57261900
-49.68449000 2.91604400 -1.59025800
-49.66401000 2.46742200 -1.60795900
-49.64353000 1.57017700 -1.62559900
-49.62305000 2.46742200 -1.60795900
-49.60257000 1.57017700 -1.60795900
-49.58208000 2.91604400 -1.59025800
-49.56161000 3.36466600 -1.55497900
-49.54113000 2.91604400 -1.59025800
-49.52065000 3.36466600 -1.57261900
-49.50017000 2.91604400 -1.59025800
-49.47969000 2.91604400 -1.60795900
-49.45921000 2.01879900 -1.60795900
-49.43872000 2.91604400 -1.59025800
-49.41825000 2.91604400 -1.55497900
-49.39777000 2.46742200 -1.59025800
-49.37729000 3.36466600 -1.57261900
-49.35681000 2.91604400 -1.59025800
-49.33633000 2.91604400 -1.59025800
-49.31585000 2.91604400 -1.59025800
-49.29536000 2.46742200 -1.60795900
-49.27489000 2.01879900 1.56956700
-49.25441000 2.91604400 1.58720700
-49.23393000 3.36466600 1.62254700
-49.21345000 2.91604400 1.58720700
-49.19297000 4.26191000 1.62254700
-49.17249000 5.15915400 1.60484600
-49.15201000 5.15915400 1.58720700
-49.13153000 3.36466600 1.55192700
-49.11105000 4.71053200 1.58720700
-49.09057000 3.81328800 1.58720700
-49.07009000 4.26191000 1.60484600
-49.04961000 5.15915400 1.62254700
-49.02913000 4.26191000 1.60484600
-49.00865000 4.71053200 1.62254700
-48.98817000 3.81328800 1.60484600
-48.96769000 3.81328800 1.58720700
-48.94721000 2.91604400 1.58720700
-48.92673000 3.36466600 1.60484600
-48.90625000 4.26191000 1.64018700
-48.88577000 3.36466600 1.60484600
-48.86529000 4.26191000 1.62254700
-48.84481000 3.36466600 1.60484600
-48.82433000 3.36466600 1.60484600
-48.80385000 3.36466600 1.62254700
-48.78337000 2.91604400 1.60484600
-48.76289000 2.46742200 1.58720700
-48.74240000 3.36466600 1.60484600
-48.72193000 3.36466600 1.62254700
-48.70145000 3.36466600 1.62254700
-48.68097000 3.36466600 1.62254700
-48.66049000 2.91604400 1.58720700
-48.64001000 2.91604400 1.58720700
-48.61953000 2.01879900 1.56956700
-48.59904000 2.91604400 1.58720700
-48.57857000 2.91604400 1.62254700
-48.55809000 2.91604400 1.60484600
-48.53761000 3.36466600 1.62254700
-48.51713000 2.91604400 1.58720700
-48.49665000 3.36466600 1.60484600
-48.47617000 2.91604400 1.60484600
-48.45569000 2.91604400 1.58720700
-48.43521000 2.01879900 1.58720700
-48.41473000 2.91604400 1.58720700
-48.39425000 3.36466600 1.64018700
-48.37377000 2.91604400 1.58720700
-48.35329000 3.36466600 1.62254700
-48.33281000 2.91604400 1.58720700
-48.31233000 2.91604400 1.58720700
-48.29185000 2.01879900 1.58720700
-48.27137000 2.91604400 1.58720700
-48.25089000 2.01879900 1.58720700
-48.23041000 2.91604400 1.60484600
-48.20993000 3.36466600 1.62254700
-48.18945000 2.91604400 1.58720700
-48.16897000 3.36466600 1.60484600
-48.14849000 2.91604400 1.58720700
-48.12801000 2.46742200 1.58720700
-48.10753000 2.01879900 1.58720700
-48.08705000 2.91604400 1.58720700
-48.06657000 3.36466600 1.62254700
-48.04609000 2.46742200 -1.55497900
-48.02561000 3.36466600 -1.57261900
-48.00513000 2.46742200 -1.59025800
-47.98465000 2.91604400 -1.60795900
-47.96417000 2.46742200 -1.60795900
-47.94369000 2.46742200 -1.60795900
-47.92321000 1.57017700 -1.60795900
-47.90273000 2.46742200 -1.60795900
-47.88225000 2.91604400 -1.57261900
-47.86177000 2.91604400 -1.60795900
-47.84129000 3.36466600 -1.59025800
-47.82081000 2.91604400 -1.60795900
-47.80033000 2.91604400 -1.60795900
-47.77985000 1.57017700 -1.64323900
-47.75937000 2.46742200 -1.60795900
-47.73889000 1.57017700 -1.60795900
-47.71841000 2.91604400 -1.59025800
