Zeit,Kanal A,Kanal B
(ms),(mV),(V)

-5.00096600,1.57017700,-1.57261900
-4.99968600,1.57017700,-1.55497900
-4.99840600,1.57017700,-1.55497900
-4.99712600,1.57017700,-1.55497900
-4.99584600,2.91604400,-1.51963900
-4.99456600,2.91604400,-1.51963900
-4.99328600,2.91604400,-1.51963900
-4.99200600,3.36466600,-1.51963900
-4.99072600,3.36466600,-1.51963900
-4.98944600,3.36466600,-1.51963900
-4.98816600,3.36466600,-1.53733900
-4.98688600,2.91604400,-1.53733900
-4.98560600,2.46742200,-1.55497900
-4.98432600,2.46742200,-1.55497900
-4.98304600,2.46742200,-1.55497900
-4.98176600,2.46742200,-1.53733900
-4.98048600,2.46742200,-1.55497900
-4.97920600,2.91604400,-1.53733900
-4.97792600,2.46742200,-1.53733900
-4.97664600,2.91604400,-1.53733900
-4.97536600,2.91604400,-1.53733900
-4.97408600,2.46742200,-1.53733900
-4.97280600,2.91604400,-1.53733900
-4.97152600,2.91604400,-1.53733900
-4.97024600,2.46742200,-1.53733900
-4.96896600,2.91604400,-1.53733900
-4.96768600,2.46742200,-1.53733900
-4.96640600,2.46742200,-1.53733900
-4.96512600,1.57017700,-1.55497900
-4.96384600,1.57017700,-1.55497900
-4.96256600,1.57017700,-1.55497900
-4.96128600,2.01879900,-1.55497900
-4.96000600,1.57017700,-1.53733900
-4.95872600,2.91604400,-1.51963900
-4.95744700,2.91604400,-1.51963900
-4.95616600,2.91604400,-1.51963900
-4.95488600,3.36466600,-1.51963900
-4.95360600,3.36466600,-1.53733900
-4.95232600,3.36466600,-1.53733900
-4.95104600,3.36466600,-1.53733900
-4.94976600,2.91604400,-1.55497900
-4.94848600,2.46742200,-1.55497900
-4.94720600,2.46742200,-1.55497900
-4.94592600,2.46742200,-1.55497900
-4.94464600,2.46742200,-1.53733900
-4.94336600,2.46742200,-1.53733900
-4.94208600,2.91604400,-1.53733900
-4.94080600,2.46742200,-1.53733900
-4.93952700,2.46742200,-1.53733900
-4.93824600,2.46742200,-1.53733900
-4.93696600,2.91604400,-1.53733900
-4.93568600,2.91604400,-1.53733900
-4.93440600,2.91604400,-1.53733900
-4.93312600,2.91604400,-1.53733900
-4.93184600,2.91604400,-1.53733900
-4.93056600,2.46742200,-1.53733900
-4.92928600,2.46742200,-1.53733900
-4.92800600,1.57017700,-1.57261900
-4.92672600,2.01879900,-1.55497900
-4.92544600,1.57017700,-1.55497900
-4.92416600,1.57017700,-1.55497900
-4.92288600,2.46742200,-1.51963900
-4.92160600,2.91604400,-1.51963900
-4.92032600,3.36466600,-1.51963900
-4.91904600,3.36466600,-1.51963900
-4.91776600,3.36466600,-1.51963900
-4.91648600,3.36466600,-1.53733900
-4.91520600,3.36466600,-1.53733900
-4.91392600,2.91604400,-1.53733900
-4.91264600,2.91604400,-1.55497900
-4.91136600,2.46742200,-1.55497900
-4.91008600,2.46742200,-1.55497900
-4.90880600,2.46742200,-1.55497900
-4.90752600,2.46742200,-1.53733900
-4.90624600,2.46742200,-1.53733900
-4.90496600,2.91604400,-1.53733900
-4.90368600,2.91604400,-1.53733900
-4.90240600,2.91604400,-1.53733900
-4.90112600,2.46742200,-1.53733900
-4.89984600,2.91604400,-1.53733900
-4.89856600,2.91604400,-1.53733900
-4.89728600,2.46742200,-1.53733900
-4.89600600,2.46742200,-1.53733900
-4.89472600,2.46742200,-1.53733900
-4.89344600,2.46742200,-1.53733900
-4.89216600,1.12155500,-1.55497900
-4.89088600,2.01879900,-1.55497900
-4.88960600,1.57017700,-1.55497900
-4.88832600,1.57017700,-1.55497900
-4.88704600,2.01879900,-1.55497900
-4.88576600,2.91604400,-1.51963900
-4.88448600,3.36466600,-1.51963900
-4.88320600,3.36466600,-1.51963900
-4.88192700,3.36466600,-1.51963900
-4.88064600,3.36466600,-1.51963900
-4.87936600,3.36466600,-1.53733900
-4.87808600,2.91604400,-1.53733900
-4.87680600,2.91604400,-1.55497900
-4.87552600,2.91604400,-1.55497900
-4.87424600,2.46742200,-1.55497900
-4.87296600,2.46742200,-1.55497900
-4.87168600,2.46742200,-1.53733900
-4.87040600,2.46742200,-1.53733900
-4.86912600,2.46742200,-1.53733900
-4.86784600,2.46742200,-1.53733900
-4.86656600,2.46742200,-1.53733900
-4.86528600,2.46742200,-1.53733900
-4.86400700,2.46742200,-1.53733900
-4.86272600,2.91604400,-1.53733900
-4.86144600,2.91604400,-1.53733900
-4.86016600,2.91604400,-1.53733900
-4.85888600,2.46742200,-1.53733900
-4.85760600,2.91604400,-1.53733900
-4.85632600,2.91604400,-1.53733900
-4.85504600,1.12155500,-1.57261900
-4.85376600,1.57017700,-1.55497900
-4.85248600,1.57017700,-1.55497900
-4.85120600,1.57017700,-1.55497900
-4.84992600,2.46742200,-1.53733900
-4.84864600,2.91604400,-1.51963900
-4.84736600,2.91604400,-1.51963900
-4.84608600,3.36466600,-1.51963900
-4.84480600,2.91604400,-1.51963900
-4.84352600,3.36466600,-1.53733900
-4.84224600,3.36466600,-1.53733900
-4.84096600,2.91604400,-1.53733900
-4.83968600,2.46742200,-1.55497900
-4.83840600,2.46742200,-1.55497900
-4.83712600,2.46742200,-1.55497900
-4.83584600,2.46742200,-1.55497900
-4.83456600,2.91604400,-1.55497900
-4.83328600,2.46742200,-1.53733900
-4.83200600,2.91604400,-1.53733900
-4.83072600,2.46742200,-1.53733900
-4.82944600,2.46742200,-1.53733900
-4.82816600,2.91604400,-1.53733900
-4.82688600,2.91604400,-1.53733900
-4.82560600,2.91604400,-1.53733900
-4.82432600,2.91604400,-1.53733900
-4.82304600,2.91604400,-1.53733900
-4.82176600,2.91604400,-1.53733900
-4.82048600,2.91604400,-1.53733900
-4.81920600,2.46742200,-1.55497900
-4.81792600,1.57017700,-1.55497900
-4.81664600,1.57017700,-1.55497900
-4.81536600,1.57017700,-1.55497900
-4.81408600,2.01879900,-1.53733900
-4.81280600,2.91604400,-1.51963900
-4.81152600,2.91604400,-1.51963900
-4.81024600,2.91604400,-1.51963900
-4.80896600,3.36466600,-1.51963900
-4.80768600,3.36466600,-1.51963900
-4.80640600,3.36466600,-1.53733900
-4.80512600,2.91604400,-1.53733900
-4.80384600,2.91604400,-1.53733900
-4.80256600,2.46742200,-1.55497900
-4.80128600,2.91604400,-1.55497900
