Zeit Kanal A
(ms) (mV)

-50.01217000 3.56151000
-49.99169000 3.56151000
-49.97121000 2.66426600
-49.95073000 3.56151000
-49.93025000 3.56151000
-49.90977000 3.56151000
-49.88929000 3.56151000
-49.86881000 2.66426600
-49.84833000 3.56151000
-49.82785000 1.76397000
-49.80737000 3.56151000
-49.78689000 1.76397000
-49.76641000 2.66426600
-49.74593000 3.56151000
-49.72545000 3.56151000
-49.70497000 3.56151000
-49.68449000 2.66426600
-49.66401000 2.66426600
-49.64353000 2.66426600
-49.62305000 3.56151000
-49.60257000 2.66426600
-49.58208000 3.56151000
-49.56161000 3.56151000
-49.54113000 2.66426600
-49.52065000 3.56151000
-49.50017000 2.66426600
-49.47969000 2.66426600
-49.45921000 2.66426600
-49.43872000 3.56151000
-49.41825000 3.56151000
-49.39777000 3.56151000
-49.37729000 3.56151000
-49.35681000 2.66426600
-49.33633000 2.66426600
-49.31585000 1.76397000
-49.29536000 3.56151000
-49.27489000 2.66426600
-49.25441000 2.66426600
-49.23393000 3.56151000
-49.21345000 3.56151000
-49.19297000 3.56151000
-49.17249000 3.56151000
-49.15201000 3.56151000
-49.13153000 2.66426600
-49.11105000 2.66426600
-49.09057000 2.66426600
-49.07009000 3.56151000
-49.04961000 3.56151000
-49.02913000 3.56151000
-49.00865000 3.56151000
-48.98817000 3.56151000
-48.96769000 3.56151000
-48.94721000 2.66426600
-48.92673000 2.66426600
-48.90625000 3.56151000
-48.88577000 2.66426600
-48.86529000 3.56151000
-48.84481000 3.56151000
-48.82433000 3.56151000
-48.80385000 2.66426600
-48.78337000 2.66426600
-48.76289000 2.66426600
-48.74240000 3.56151000
-48.72193000 3.56151000
-48.70145000 3.56151000
-48.68097000 3.56151000
-48.66049000 2.66426600
-48.64001000 3.56151000
-48.61953000 2.66426600
-48.59904000 3.56151000
-48.57857000 3.56151000
-48.55809000 2.66426600
-48.53761000 3.56151000
-48.51713000 3.56151000
-48.49665000 3.56151000
-48.47617000 3.56151000
-48.45569000 2.66426600
-48.43521000 2.66426600
-48.41473000 3.56151000
-48.39425000 3.56151000
-48.37377000 2.66426600
-48.35329000 3.56151000
-48.33281000 3.56151000
-48.31233000 2.66426600
-48.29185000 1.76397000
-48.27137000 2.66426600
-48.25089000 2.66426600
-48.23041000 3.56151000
-48.20993000 3.56151000
-48.18945000 3.56151000
-48.16897000 3.56151000
-48.14849000 3.56151000
-48.12801000 2.66426600
-48.10753000 2.66426600
-48.08705000 3.56151000
-48.06657000 3.56151000
-48.04609000 3.56151000
-48.02561000 3.56151000
-48.00513000 3.56151000
-47.98465000 3.56151000
-47.96417000 2.66426600
-47.94369000 2.66426600
-47.92321000 2.66426600
-47.90273000 3.56151000
-47.88225000 3.56151000
-47.86177000 2.66426600
-47.84129000 3.56151000
-47.82081000 2.66426600
-47.80033000 3.56151000
-47.77985000 1.76397000
-47.75937000 2.66426600
-47.73889000 2.66426600
-47.71841000 3.56151000
-47.69793000 3.56151000
-47.67744000 3.56151000
-47.65697000 3.56151000
-47.63649000 2.66426600
-47.61601000 3.56151000
-47.59553000 2.66426600
-47.57505000 3.56151000
-47.55457000 3.56151000
-47.53408000 3.56151000
-47.51361000 3.56151000
-47.49313000 3.56151000
-47.47265000 3.56151000
-47.45217000 3.56151000
-47.43169000 3.56151000
-47.41121000 3.56151000
-47.39073000 3.56151000
-47.37025000 4.46180600
-47.34977000 3.56151000
-47.32929000 4.46180600
-47.30881000 3.56151000
-47.28833000 3.56151000
-47.26785000 2.66426600
-47.24737000 3.56151000
-47.22689000 2.66426600
-47.20641000 3.56151000
-47.18593000 3.56151000
-47.16545000 3.56151000
-47.14497000 3.56151000
-47.12449000 3.56151000
-47.10401000 3.56151000
-47.08353000 2.66426600
-47.06305000 3.56151000
-47.04257000 3.56151000
-47.02209000 3.56151000
-47.00161000 3.56151000
-46.98112000 3.56151000
-46.96065000 3.56151000
-46.94017000 3.56151000
-46.91969000 2.66426600
-46.89921000 2.66426600
-46.87873000 3.56151000
-46.85825000 3.56151000
-46.83776000 3.56151000
-46.81729000 3.56151000
-46.79681000 2.66426600
-46.77633000 3.56151000
-46.75585000 2.66426600
-46.73537000 3.56151000
-46.71489000 1.76397000
-46.69441000 2.66426600
-46.67393000 3.56151000
-46.65345000 3.56151000
-46.63297000 3.56151000
-46.61249000 3.56151000
